"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"8","dev.codedok","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/TrigFunctions.java","3","7","String.indexOf(char) is faster than String.indexOf(String).","Performance","UseIndexOfChar"
"9","dev.codedok","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/TrigFunctions.java","3","8","Local variable 'operand1' could be declared final","Code Style","LocalVariableCouldBeFinal"
"10","dev.codedok","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/TrigFunctions.java","3","13","Public method and constructor comments are required","Documentation","CommentRequired"
"11","dev.codedok","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/TrigFunctions.java","3","13","Parameter 'equation' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"12","dev.codedok","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/TrigFunctions.java","3","15","Local variable 'open' could be declared final","Code Style","LocalVariableCouldBeFinal"
"13","dev.codedok","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/TrigFunctions.java","3","15","String.indexOf(char) is faster than String.indexOf(String).","Performance","UseIndexOfChar"
"14","dev.codedok","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/TrigFunctions.java","3","16","Local variable 'close' could be declared final","Code Style","LocalVariableCouldBeFinal"
"15","dev.codedok","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/TrigFunctions.java","3","16","String.indexOf(char) is faster than String.indexOf(String).","Performance","UseIndexOfChar"
"16","dev.codedok","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/TrigFunctions.java","3","17","Local variable 'operand1' could be declared final","Code Style","LocalVariableCouldBeFinal"
"17","dev.codedok","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/TrigFunctions.java","3","22","Public method and constructor comments are required","Documentation","CommentRequired"
"18","dev.codedok","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/TrigFunctions.java","3","22","Parameter 'equation' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"19","dev.codedok","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/TrigFunctions.java","3","24","Local variable 'open' could be declared final","Code Style","LocalVariableCouldBeFinal"
"20","dev.codedok","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/TrigFunctions.java","3","24","String.indexOf(char) is faster than String.indexOf(String).","Performance","UseIndexOfChar"
"21","dev.codedok","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/TrigFunctions.java","3","25","Local variable 'close' could be declared final","Code Style","LocalVariableCouldBeFinal"
"22","dev.codedok","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/TrigFunctions.java","3","25","String.indexOf(char) is faster than String.indexOf(String).","Performance","UseIndexOfChar"
"23","dev.codedok","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/TrigFunctions.java","3","26","Local variable 'operand1' could be declared final","Code Style","LocalVariableCouldBeFinal"
"24","dev.codedok","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/TrigFunctions.java","3","31","Public method and constructor comments are required","Documentation","CommentRequired"
"25","dev.codedok","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/TrigFunctions.java","3","31","Parameter 'equation' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"26","dev.codedok","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/TrigFunctions.java","3","33","Local variable 'open' could be declared final","Code Style","LocalVariableCouldBeFinal"
"27","dev.codedok","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/TrigFunctions.java","3","33","String.indexOf(char) is faster than String.indexOf(String).","Performance","UseIndexOfChar"
"28","dev.codedok","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/TrigFunctions.java","3","34","Local variable 'close' could be declared final","Code Style","LocalVariableCouldBeFinal"
"29","dev.codedok","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/TrigFunctions.java","3","34","String.indexOf(char) is faster than String.indexOf(String).","Performance","UseIndexOfChar"
"30","dev.codedok","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/TrigFunctions.java","3","35","Local variable 'operand1' could be declared final","Code Style","LocalVariableCouldBeFinal"
"31","dev.codedok","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/TrigFunctions.java","3","40","Public method and constructor comments are required","Documentation","CommentRequired"
"32","dev.codedok","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/TrigFunctions.java","3","40","Parameter 'equation' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"33","dev.codedok","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/TrigFunctions.java","3","42","Local variable 'open' could be declared final","Code Style","LocalVariableCouldBeFinal"
"34","dev.codedok","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/TrigFunctions.java","3","42","String.indexOf(char) is faster than String.indexOf(String).","Performance","UseIndexOfChar"
"35","dev.codedok","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/TrigFunctions.java","3","43","Local variable 'close' could be declared final","Code Style","LocalVariableCouldBeFinal"
"36","dev.codedok","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/TrigFunctions.java","3","43","String.indexOf(char) is faster than String.indexOf(String).","Performance","UseIndexOfChar"
"37","dev.codedok","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/TrigFunctions.java","3","44","Local variable 'operand1' could be declared final","Code Style","LocalVariableCouldBeFinal"
"38","dev.codedok","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/TrigFunctions.java","3","49","Public method and constructor comments are required","Documentation","CommentRequired"
"39","dev.codedok","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/TrigFunctions.java","3","49","Parameter 'equation' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"40","dev.codedok","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/TrigFunctions.java","3","51","Local variable 'open' could be declared final","Code Style","LocalVariableCouldBeFinal"
"41","dev.codedok","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/TrigFunctions.java","3","51","String.indexOf(char) is faster than String.indexOf(String).","Performance","UseIndexOfChar"
"42","dev.codedok","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/TrigFunctions.java","3","52","Local variable 'close' could be declared final","Code Style","LocalVariableCouldBeFinal"
"43","dev.codedok","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/TrigFunctions.java","3","52","String.indexOf(char) is faster than String.indexOf(String).","Performance","UseIndexOfChar"
"44","dev.codedok","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/TrigFunctions.java","3","53","Local variable 'operand1' could be declared final","Code Style","LocalVariableCouldBeFinal"
"1","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/AdditionOperation.java","3","8","Public method and constructor comments are required","Documentation","CommentRequired"
"2","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/AdditionOperation.java","3","13","Parameter 'operand1' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"3","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/AdditionOperation.java","3","13","Parameter 'operand2' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"1","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/BinaryOperation.java","3","7","Field comments are required","Documentation","CommentRequired"
"2","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/BinaryOperation.java","3","9","Protected method constructor comments are required","Documentation","CommentRequired"
"3","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/BinaryOperation.java","3","9","Parameter 'operatorSymbol' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"4","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/BinaryOperation.java","3","14","Parameter 'input' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"5","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/BinaryOperation.java","3","18","Protected method constructor comments are required","Documentation","CommentRequired"
"6","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/BinaryOperation.java","3","18","Parameter 'input' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"7","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/BinaryOperation.java","3","27","A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"8","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/BinaryOperation.java","3","31","Local variable 'operand1String' could be declared final","Code Style","LocalVariableCouldBeFinal"
"9","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/BinaryOperation.java","3","32","Local variable 'operand2String' could be declared final","Code Style","LocalVariableCouldBeFinal"
"10","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/BinaryOperation.java","3","36","A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"11","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/BinaryOperation.java","3","39","Local variable 'operand1' could be declared final","Code Style","LocalVariableCouldBeFinal"
"12","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/BinaryOperation.java","3","40","Local variable 'operand2' could be declared final","Code Style","LocalVariableCouldBeFinal"
"13","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/BinaryOperation.java","3","46","Parameter 'input' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"14","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/BinaryOperation.java","3","48","Local variable 'operands' could be declared final","Code Style","LocalVariableCouldBeFinal"
"15","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/BinaryOperation.java","3","49","A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"16","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/BinaryOperation.java","3","50","Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block","Design","AvoidCatchingGenericException"
"1","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/ConstantOperation.java","3","7","Field comments are required","Documentation","CommentRequired"
"2","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/ConstantOperation.java","3","8","Field comments are required","Documentation","CommentRequired"
"3","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/ConstantOperation.java","3","10","Public method and constructor comments are required","Documentation","CommentRequired"
"4","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/ConstantOperation.java","3","10","Parameter 'constantName' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"5","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/ConstantOperation.java","3","10","Parameter 'constantValue' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"6","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/ConstantOperation.java","3","16","Parameter 'input' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"1","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/CosineOperation.java","3","8","Public method and constructor comments are required","Documentation","CommentRequired"
"2","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/CosineOperation.java","3","13","Parameter 'operand' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"1","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/DivisionOperation.java","3","8","Public method and constructor comments are required","Documentation","CommentRequired"
"2","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/DivisionOperation.java","3","13","Parameter 'operand1' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"3","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/DivisionOperation.java","3","13","Parameter 'operand2' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"4","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/DivisionOperation.java","3","15","A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"1","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/ExponentOperation.java","3","8","Public method and constructor comments are required","Documentation","CommentRequired"
"2","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/ExponentOperation.java","3","13","Parameter 'operand1' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"3","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/ExponentOperation.java","3","13","Parameter 'operand2' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"4","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/ExponentOperation.java","3","18","Parameter 'input' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"5","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/ExponentOperation.java","3","20","Local variable 'operatorIndex' could be declared final","Code Style","LocalVariableCouldBeFinal"
"6","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/ExponentOperation.java","3","22","A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"7","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/ExponentOperation.java","3","26","Local variable 'leftPart' could be declared final","Code Style","LocalVariableCouldBeFinal"
"8","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/ExponentOperation.java","3","27","Local variable 'rightPart' could be declared final","Code Style","LocalVariableCouldBeFinal"
"9","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/ExponentOperation.java","3","31","A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"10","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/ExponentOperation.java","3","34","Local variable 'base' could be declared final","Code Style","LocalVariableCouldBeFinal"
"11","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/ExponentOperation.java","3","35","Local variable 'exponent' could be declared final","Code Style","LocalVariableCouldBeFinal"
"12","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/ExponentOperation.java","3","37","A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"13","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/ExponentOperation.java","3","38","Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block","Design","AvoidCatchingGenericException"
"1","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/FactorialOperation.java","3","8","Public method and constructor comments are required","Documentation","CommentRequired"
"2","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/FactorialOperation.java","3","13","Parameter 'input' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"3","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/FactorialOperation.java","3","14","Local variable 'operatorIndex' could be declared final","Code Style","LocalVariableCouldBeFinal"
"4","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/FactorialOperation.java","3","19","Parameter 'operand' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"5","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/FactorialOperation.java","3","21","A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"1","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/ModuloOperation.java","3","8","Public method and constructor comments are required","Documentation","CommentRequired"
"2","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/ModuloOperation.java","3","13","Parameter 'operand1' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"3","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/ModuloOperation.java","3","13","Parameter 'operand2' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"4","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/ModuloOperation.java","3","15","A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"1","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/MultiplicationOperation.java","3","8","Public method and constructor comments are required","Documentation","CommentRequired"
"2","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/MultiplicationOperation.java","3","13","Parameter 'operand1' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"3","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/MultiplicationOperation.java","3","13","Parameter 'operand2' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"4","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/MultiplicationOperation.java","3","18","Parameter 'input' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"5","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/MultiplicationOperation.java","3","20","Local variable 'operatorIndex' could be declared final","Code Style","LocalVariableCouldBeFinal"
"6","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/MultiplicationOperation.java","3","22","A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"7","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/MultiplicationOperation.java","3","26","Local variable 'leftPart' could be declared final","Code Style","LocalVariableCouldBeFinal"
"8","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/MultiplicationOperation.java","3","27","Local variable 'rightPart' could be declared final","Code Style","LocalVariableCouldBeFinal"
"9","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/MultiplicationOperation.java","3","31","A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"10","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/MultiplicationOperation.java","3","34","Local variable 'operand1' could be declared final","Code Style","LocalVariableCouldBeFinal"
"11","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/MultiplicationOperation.java","3","35","Local variable 'operand2' could be declared final","Code Style","LocalVariableCouldBeFinal"
"12","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/MultiplicationOperation.java","3","37","A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"13","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/MultiplicationOperation.java","3","38","Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block","Design","AvoidCatchingGenericException"
"1","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/NegativeExponentOperation.java","3","6","Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"2","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/NegativeExponentOperation.java","3","9","Parameter 'input' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"3","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/NegativeExponentOperation.java","3","14","Parameter 'input' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"4","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/NegativeExponentOperation.java","3","15","Local variable 'caretIndex' could be declared final","Code Style","LocalVariableCouldBeFinal"
"5","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/NegativeExponentOperation.java","3","17","A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"6","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/NegativeExponentOperation.java","3","21","Local variable 'base' could be declared final","Code Style","LocalVariableCouldBeFinal"
"7","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/NegativeExponentOperation.java","3","22","Local variable 'exponent' could be declared final","Code Style","LocalVariableCouldBeFinal"
"8","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/NegativeExponentOperation.java","3","23","A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"9","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/NegativeExponentOperation.java","3","24","Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block","Design","AvoidCatchingGenericException"
"1","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/NegativeMultiplicationOperation.java","3","6","Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"2","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/NegativeMultiplicationOperation.java","3","9","Parameter 'input' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"3","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/NegativeMultiplicationOperation.java","3","14","Parameter 'input' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
